model,num_shots,test_split,instruction,gold_program,pred_program,strict_valid,prompt,raw_file
Qwen/Qwen3-0.6B,0,held_control_20,"First, go backward slightly. Then, go forward just a little.",[backward:10][forward:10],[backward:30],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: First, go backward slightly. Then, go forward just a little.
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
Qwen/Qwen3-0.6B,0,held_control_20,"First, let out a bark. Then, bark. After that, go backward a bit. Next, back up for a long while.",[bark:0][bark:0][backward:30][backward:100],[left:180][forward:10],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: First, let out a bark. Then, bark. After that, go backward a bit. Next, back up for a long while.
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
Qwen/Qwen3-0.6B,0,held_control_20,"First, make a bark sound. Then, advance some distance. After that, go forward slightly.",[bark:0][forward:60][forward:10],[left:15],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: First, make a bark sound. Then, advance some distance. After that, go forward slightly.
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
Qwen/Qwen3-0.6B,0,held_control_20,"First, move back some distance. Then, move forward a little.",[backward:60][forward:30],[left:180],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: First, move back some distance. Then, move forward a little.
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
Qwen/Qwen3-0.6B,0,held_control_20,"First, turn left a lot. Then, veer right about a right angle. After that, veer left all the way around.",[left:90][right:90][left:180],[left:15],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: First, turn left a lot. Then, veer right about a right angle. After that, veer left all the way around.
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
Qwen/Qwen3-0.6B,0,held_control_20,"First, turn right about a right angle. Then, veer left about-face.",[right:90][left:180],[left:15],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: First, turn right about a right angle. Then, veer left about-face.
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
Qwen/Qwen3-0.6B,0,held_control_20,"First, veer left all the way around. Then, turn left about a quarter turn. After that, turn right all the way around.",[left:180][left:45][right:180],[left:15],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: First, veer left all the way around. Then, turn left about a quarter turn. After that, turn right all the way around.
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
Qwen/Qwen3-0.6B,0,held_control_20,"First, veer left slightly. Then, veer right about-face.",[left:15][right:180],[left:15],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: First, veer left slightly. Then, veer right about-face.
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
Qwen/Qwen3-0.6B,0,held_control_20,"First, veer right about a right angle. Then, let out a bark. After that, rotate left all the way around.",[right:90][bark:0][left:180],[left:180],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: First, veer right about a right angle. Then, let out a bark. After that, rotate left all the way around.
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
Qwen/Qwen3-0.6B,0,held_control_20,"bark, then kind of veer left about a right angle, next please turn left about a quarter turn",[bark:0][left:90][left:45],[left:15],True,"You are converting instructions into an action sequence program.
Output only the program, with no extra text.
Program format: concatenate bracketed calls with no separators.
Each call format: [tool:value]
Allowed tools: forward, backward, left, right, bark
Allowed values for forward/backward: 10, 30, 60, 100
Allowed values for left/right: 15, 45, 90, 180
Allowed value for bark: 0
Example format only: [left:45][forward:60][bark:0]

Instruction: bark, then kind of veer left about a right angle, next please turn left about a quarter turn
Action sequence:",qwen3_raw_06b_20_Qwen_Qwen3-0.6B_data_held_control_20.jsonl_shot0.jsonl
